문제 번호,제목,레벨,태그,링크
2588,곱셈,3,"arithmetic, math",https://www.acmicpc.net/problem/2588
2606,바이러스,,"graphs, graph_traversal, bfs, dfs",https://www.acmicpc.net/problem/2606
2609,최대공약수와 최소공배수,5,"euclidean, math, number_theory",https://www.acmicpc.net/problem/2609
2630,색종이 만들기,,,https://www.acmicpc.net/problem/2630
2644,촌수계산,,,https://www.acmicpc.net/problem/2644
2667,단지번호붙이기,,,https://www.acmicpc.net/problem/2667
2675,문자열 반복,4,"implementation, string",https://www.acmicpc.net/problem/2675
2720,세탁소 사장 동혁,3,"arithmetic, greedy, math",https://www.acmicpc.net/problem/2720
2738,행렬 덧셈,3,"arithmetic, implementation, math",https://www.acmicpc.net/problem/2738
2739,구구단,1,"implementation, math",https://www.acmicpc.net/problem/2739
2741,N 찍기,1,implementation,https://www.acmicpc.net/problem/2741
2742,기찍 N,2,implementation,https://www.acmicpc.net/problem/2742
2743,단어 길이 재기,1,"implementation, string",https://www.acmicpc.net/problem/2743
2745,진법 변환,4,"implementation, string, math",https://www.acmicpc.net/problem/2745
2750,수 정렬하기,4,"sorting, implementation",https://www.acmicpc.net/problem/2750
2751,수 정렬하기 2,6,sorting,https://www.acmicpc.net/problem/2751
2753,윤년,1,"implementation, arithmetic, math",https://www.acmicpc.net/problem/2753
2775,부녀회장이 될테야,5,"dp, implementation, math",https://www.acmicpc.net/problem/2775
2798,블랙잭,4,bruteforcing,https://www.acmicpc.net/problem/2798
2805,나무 자르기,9,"binary_search, parametric_search",https://www.acmicpc.net/problem/2805
2839,설탕 배달,7,"dp, greedy, math",https://www.acmicpc.net/problem/2839
2869,달팽이는 올라가고 싶다,5,math,https://www.acmicpc.net/problem/2869
2884,알람 시계,3,"arithmetic, math",https://www.acmicpc.net/problem/2884
2903,중앙 이동 알고리즘,3,math,https://www.acmicpc.net/problem/2903
2908,상수,4,"implementation, math",https://www.acmicpc.net/problem/2908
2909,캔디 구매,4,"implementation, math",https://www.acmicpc.net/problem/2909
2920,음계,4,implementation,https://www.acmicpc.net/problem/2920
2941,크로아티아 알파벳,6,"implementation, string",https://www.acmicpc.net/problem/2941
3003,"킹, 퀸, 룩, 비숍, 나이트, 폰",1,"implementation, arithmetic, math",https://www.acmicpc.net/problem/3003
3009,네 번째 점,3,"geometry, implementation",https://www.acmicpc.net/problem/3009
3020,개똥벌레,,,https://www.acmicpc.net/problem/3020
3052,나머지,4,"arithmetic, math",https://www.acmicpc.net/problem/3052
3273,두 수의 합,,,https://www.acmicpc.net/problem/3273
4107,Knitting,4,"arithmetic, implementation, math, simulation",https://www.acmicpc.net/problem/4107
4134,다음 소수,7,"bruteforcing, math, number_theory, primality_test",https://www.acmicpc.net/problem/4134
4153,직각삼각형,3,"geometry, math, pythagoras",https://www.acmicpc.net/problem/4153
4948,베르트랑 공준,9,"math, number_theory, primality_test, sieve",https://www.acmicpc.net/problem/4948
4949,균형잡힌 세상,7,"data_structures, stack, string",https://www.acmicpc.net/problem/4949
4963,섬의 개수,,,https://www.acmicpc.net/problem/4963
5073,삼각형과 세 변,3,"geometry, implementation, math",https://www.acmicpc.net/problem/5073
5086,배수와 약수,3,"arithmetic, math",https://www.acmicpc.net/problem/5086
5430,AC,,,https://www.acmicpc.net/problem/5430
5597,과제 안 내신 분..?,3,implementation,https://www.acmicpc.net/problem/5597
