제출 번호,문제 번호,결과,메모리,시간,제출 시간,태그
66961611,24313,틀렸습니다,,,1년 전,['math']
66961315,24313,틀렸습니다,,,1년 전,['math']
66960616,24267,틀렸습니다,,,1년 전,"['implementation', 'math', 'simulation']"
66959867,24267,틀렸습니다,,,1년 전,"['implementation', 'math', 'simulation']"
66959030,24267,시간 초과,,,1년 전,"['implementation', 'math', 'simulation']"
66956051,10101,틀렸습니다,,,1년 전,"['geometry', 'implementation']"
66955913,10101,틀렸습니다,,,1년 전,"['geometry', 'implementation']"
66954781,15894,틀렸습니다,,,1년 전,"['arithmetic', 'math']"
66954754,15894,틀렸습니다,,,1년 전,"['arithmetic', 'math']"
66895265,11653,시간 초과,,,1년 전,"['math', 'number_theory', 'primality_test']"
66895048,11653,런타임 에러 (IndexOutOfBounds),,,1년 전,"['math', 'number_theory', 'primality_test']"
66894988,11653,시간 초과,,,1년 전,"['math', 'number_theory', 'primality_test']"
66894505,2581,틀렸습니다,,,1년 전,"['primality_test', 'number_theory', 'math']"
66892506,5086,틀렸습니다,,,1년 전,"['arithmetic', 'math']"
66892369,5086,틀렸습니다,,,1년 전,"['arithmetic', 'math']"
66892300,5086,틀렸습니다,,,1년 전,"['arithmetic', 'math']"
66800153,2720,컴파일 에러,,,1년 전,"['arithmetic', 'greedy', 'math']"
66798640,11005,틀렸습니다,,,1년 전,"['implementation', 'math']"
66798331,11005,틀렸습니다,,,1년 전,"['implementation', 'math']"
66798223,11005,틀렸습니다,,,1년 전,"['implementation', 'math']"
66798174,11005,틀렸습니다,,,1년 전,"['implementation', 'math']"
66602824,11005,틀렸습니다,,,1년 전,"['implementation', 'math']"
66601990,11005,틀렸습니다,,,1년 전,"['implementation', 'math']"
66601741,11005,틀렸습니다,,,1년 전,"['implementation', 'math']"
66594914,2745,틀렸습니다,,,1년 전,"['implementation', 'string', 'math']"
66594553,2745,틀렸습니다,,,1년 전,"['implementation', 'string', 'math']"
66584896,10798,틀렸습니다,,,1년 전,"['implementation', 'string']"
66553274,2566,틀렸습니다,,,1년 전,['implementation']
66553119,2566,틀렸습니다,,,1년 전,['implementation']
66552737,2738,런타임 에러 (ArrayIndexOutOfBounds),,,1년 전,"['arithmetic', 'implementation', 'math']"
66529476,2941,런타임 에러 (ArrayIndexOutOfBounds),,,1년 전,"['implementation', 'string']"
66478361,11718,틀렸습니다,,,1년 전,"['implementation', 'string']"
66478330,11718,런타임 에러 (NullPointer),,,1년 전,"['implementation', 'string']"
66423133,9086,틀렸습니다,,,1년 전,"['implementation', 'string']"
66423094,9086,틀렸습니다,,,1년 전,"['implementation', 'string']"
66423071,9086,컴파일 에러,,,1년 전,"['implementation', 'string']"
66422573,2743,틀렸습니다,,,1년 전,"['implementation', 'string']"
66176173,10810,컴파일 에러,,,1년 전,"['implementation', 'simulation']"
66173339,2480,틀렸습니다,,,1년 전,"['arithmetic', 'case_work', 'implementation', 'math']"
66173142,2480,틀렸습니다,,,1년 전,"['arithmetic', 'case_work', 'implementation', 'math']"
66163813,11382,런타임 에러 (InputMismatch),,,1년 전,"['implementation', 'arithmetic', 'math']"
66163769,11382,런타임 에러 (InputMismatch),,,1년 전,"['implementation', 'arithmetic', 'math']"
66055427,1676,틀렸습니다,,,1년 전,['math']
66055408,1676,컴파일 에러,,,1년 전,['math']
60216140,18111,틀렸습니다,,,1년 전,"['bruteforcing', 'implementation']"
